company_id,year,capital_allocation
ABB,Dec 2012,Reinvest
ABB,Mar 2014,Reinvest
ABB,Mar 2015,Reinvest
ABB,Mar 2016,Reinvest
ABB,Mar 2017,Cash Rich
ABB,Mar 2018,Reinvest
ABB,Mar 2019,Reinvest
ABB,Mar 2020,Reinvest
ABB,Mar 2021,Reinvest
ABB,Mar 2022,Reinvest
ABB,Mar 2023,Reinvest
ABB,Mar 2024,Reinvest
ABB,TTM,Neutral
ADANIENSOL,Mar 2014,Neutral
ADANIENSOL,Mar 2015,Distress
ADANIENSOL,Mar 2016,Expansion
ADANIENSOL,Mar 2017,Expansion
ADANIENSOL,Mar 2018,Expansion
ADANIENSOL,Mar 2019,Distress
ADANIENSOL,Mar 2020,Distress
ADANIENSOL,Mar 2021,Distress
ADANIENSOL,Mar 2022,Expansion
ADANIENSOL,Mar 2023,Distress
ADANIENSOL,Mar 2024,Expansion
ADANIENSOL,TTM,Neutral
ADANIENT,Mar 2013,Distress
ADANIENT,Mar 2014,Expansion
ADANIENT,Mar 2015,Distress
ADANIENT,Mar 2016,Neutral
ADANIENT,Mar 2017,Expansion
ADANIENT,Mar 2018,Expansion
ADANIENT,Mar 2019,Balanced
ADANIENT,Mar 2020,Balanced
ADANIENT,Mar 2021,Expansion
ADANIENT,Mar 2022,Expansion
ADANIENT,Mar 2023,Expansion
ADANIENT,Mar 2024,Expansion
ADANIENT,TTM,Neutral
ADANIGREEN,Mar 2017,Distress
ADANIGREEN,Mar 2018,Distress
ADANIGREEN,Mar 2019,Distress
ADANIGREEN,Mar 2020,Distress
ADANIGREEN,Mar 2021,Distress
ADANIGREEN,Mar 2022,Distress
ADANIGREEN,Mar 2023,Expansion
ADANIGREEN,Mar 2024,Distress
ADANIGREEN,TTM,Neutral
ADANIPORTS,Mar 2013,Reinvest
ADANIPORTS,Mar 2014,Expansion
ADANIPORTS,Mar 2015,Reinvest
ADANIPORTS,Mar 2016,Reinvest
ADANIPORTS,Mar 2017,Reinvest
ADANIPORTS,Mar 2018,Expansion
ADANIPORTS,Mar 2019,Expansion
ADANIPORTS,Mar 2020,Neutral
ADANIPORTS,Mar 2021,Neutral
ADANIPORTS,Mar 2022,Neutral
ADANIPORTS,Mar 2023,Neutral
ADANIPORTS,Mar 2024,Balanced
ADANIPORTS,TTM,Neutral
ADANIPOWER,Mar 2013,Distress
ADANIPOWER,Mar 2014,Distress
ADANIPOWER,Mar 2015,Expansion
ADANIPOWER,Mar 2016,Expansion
ADANIPOWER,Mar 2017,Neutral
ADANIPOWER,Mar 2018,Neutral
ADANIPOWER,Mar 2019,Neutral
ADANIPOWER,Mar 2020,Neutral
ADANIPOWER,Mar 2021,Neutral
ADANIPOWER,Mar 2022,Neutral
ADANIPOWER,Mar 2023,Neutral
ADANIPOWER,Mar 2024,Balanced
ADANIPOWER,TTM,Neutral
AMBUJACEM,Dec 2012,Cash Rich
AMBUJACEM,Dec 2013,Cash Rich
AMBUJACEM,Dec 2014,Cash Rich
AMBUJACEM,Dec 2015,Cash Rich
AMBUJACEM,Dec 2016,Neutral
AMBUJACEM,Dec 2017,Cash Rich
AMBUJACEM,Dec 2018,Cash Rich
AMBUJACEM,Dec 2019,Cash Rich
AMBUJACEM,Dec 2020,Cash Rich
AMBUJACEM,Dec 2021,Cash Rich
AMBUJACEM,Mar 2023 15,Neutral
AMBUJACEM,Mar 2024,Expansion
AMBUJACEM,TTM,Neutral
APOLLOHOSP,Mar 2013,Neutral
APOLLOHOSP,Mar 2014,Cash Rich
APOLLOHOSP,Mar 2015,Neutral
APOLLOHOSP,Mar 2016,Neutral
APOLLOHOSP,Mar 2017,Neutral
APOLLOHOSP,Mar 2018,Neutral
APOLLOHOSP,Mar 2019,Neutral
APOLLOHOSP,Mar 2020,Neutral
APOLLOHOSP,Mar 2021,Balanced
APOLLOHOSP,Mar 2022,Balanced
APOLLOHOSP,Mar 2023,Balanced
APOLLOHOSP,Mar 2024,Balanced
APOLLOHOSP,TTM,Neutral
ASIANPAINT,Mar 2013,Cash Rich
ASIANPAINT,Mar 2014,Return
ASIANPAINT,Mar 2015,Return
ASIANPAINT,Mar 2016,Return
ASIANPAINT,Mar 2017,Return
ASIANPAINT,Mar 2018,Reinvest
ASIANPAINT,Mar 2019,Return
ASIANPAINT,Mar 2020,Return
ASIANPAINT,Mar 2021,Return
ASIANPAINT,Mar 2022,Return
ASIANPAINT,Mar 2023,Return
ASIANPAINT,Mar 2024,Return
ASIANPAINT,TTM,Neutral
ATGL,Mar 2018,Neutral
ATGL,Mar 2019,Neutral
ATGL,Mar 2020,Neutral
ATGL,Mar 2021,Neutral
ATGL,Mar 2022,Neutral
ATGL,Mar 2023,Neutral
ATGL,Mar 2024,Neutral
ATGL,TTM,Neutral
BAJAJ-AUTO,Mar 2013,Reinvest
BAJAJ-AUTO,Mar 2014,Reinvest
BAJAJ-AUTO,Mar 2015,Return
BAJAJ-AUTO,Mar 2016,Cash Rich
BAJAJ-AUTO,Mar 2017,Reinvest
BAJAJ-AUTO,Mar 2018,Return
BAJAJ-AUTO,Mar 2019,Cash Rich
BAJAJ-AUTO,Mar 2020,Return
BAJAJ-AUTO,Mar 2021,Cash Rich
BAJAJ-AUTO,Mar 2022,Return
BAJAJ-AUTO,Mar 2023,Return
BAJAJ-AUTO,Mar 2024,Cash Rich
BAJAJ-AUTO,TTM,Neutral
AXISBANK,Mar 2013,Distress
AXISBANK,Mar 2014,Expansion
AXISBANK,Mar 2015,Distress
AXISBANK,Mar 2016,Distress
AXISBANK,Mar 2017,Neutral
AXISBANK,Mar 2018,Distress
AXISBANK,Mar 2019,Expansion
AXISBANK,Mar 2020,Neutral
AXISBANK,Mar 2021,Distress
AXISBANK,Mar 2022,Expansion
AXISBANK,Mar 2023,Distress
AXISBANK,Mar 2024,Distress
AXISBANK,TTM,Neutral
BAJAJFINSV,Mar 2013,Reinvest
BAJAJFINSV,Mar 2014,Reinvest
BAJAJFINSV,Mar 2015,Reinvest
BAJAJFINSV,Mar 2016,Reinvest
BAJAJFINSV,Mar 2017,Reinvest
BAJAJFINSV,Mar 2018,Reinvest
BAJAJFINSV,Mar 2019,Reinvest
BAJAJFINSV,Mar 2020,Distress
BAJAJFINSV,Mar 2021,Reinvest
BAJAJFINSV,Mar 2022,Reinvest
BAJAJFINSV,Mar 2023,Reinvest
BAJAJFINSV,Mar 2024,Reinvest
BAJAJFINSV,TTM,Neutral
BAJAJHLDNG,Mar 2013,Cash Rich
BAJAJHLDNG,Mar 2014,Cash Rich
BAJAJHLDNG,Mar 2015,Cash Rich
BAJAJHLDNG,Mar 2016,Cash Rich
BAJAJHLDNG,Mar 2017,Expansion
BAJAJHLDNG,Mar 2018,Cash Rich
BAJAJHLDNG,Mar 2019,Cash Rich
BAJAJHLDNG,Mar 2020,Cash Rich
BAJAJHLDNG,Mar 2021,Expansion
BAJAJHLDNG,Mar 2022,Cash Rich
BAJAJHLDNG,Mar 2023,Cash Rich
BAJAJHLDNG,Mar 2024,Cash Rich
BAJAJHLDNG,TTM,Neutral
BAJFINANCE,Mar 2015,Distress
BAJFINANCE,Mar 2016,Distress
BAJFINANCE,Mar 2017,Distress
BAJFINANCE,Mar 2018,Distress
BAJFINANCE,Mar 2019,Reinvest
BAJFINANCE,Mar 2020,Distress
BAJFINANCE,Mar 2021,Distress
BAJFINANCE,Mar 2022,Distress
BAJFINANCE,Mar 2023,Reinvest
BAJFINANCE,Mar 2024,Distress
BAJFINANCE,TTM,Neutral
BANKBARODA,Mar 2013,Neutral
BANKBARODA,Mar 2014,Neutral
BANKBARODA,Mar 2015,Neutral
BANKBARODA,Mar 2016,Distress
BANKBARODA,Mar 2017,Neutral
BANKBARODA,Mar 2018,Distress
BANKBARODA,Mar 2019,Distress
BANKBARODA,Mar 2020,Neutral
BANKBARODA,Mar 2021,Distress
BANKBARODA,Mar 2022,Expansion
BANKBARODA,Mar 2023,Distress
BANKBARODA,Mar 2024,Distress
BANKBARODA,TTM,Neutral
BHARTIARTL,Mar 2013,Expansion
BHARTIARTL,Mar 2014,Neutral
BHARTIARTL,Mar 2015,Neutral
BHARTIARTL,Mar 2016,Expansion
BHARTIARTL,Mar 2017,Expansion
BHARTIARTL,Mar 2018,Income
BHARTIARTL,Mar 2019,Income
BHARTIARTL,Mar 2020,Expansion
BHARTIARTL,Mar 2021,Expansion
BHARTIARTL,Mar 2022,Neutral
BHARTIARTL,Mar 2023,Neutral
BHARTIARTL,Mar 2024,Income
BHARTIARTL,TTM,Neutral
BEL,Mar 2013,Reinvest
BEL,Mar 2014,Reinvest
BEL,Mar 2015,Reinvest
BEL,Mar 2016,Reinvest
BEL,Mar 2017,Reinvest
BEL,Mar 2018,Reinvest
BEL,Mar 2019,Reinvest
BEL,Mar 2020,Balanced
BEL,Mar 2021,Reinvest
BEL,Mar 2022,Reinvest
BEL,Mar 2023,Return
BEL,Mar 2024,Reinvest
BEL,TTM,Neutral
BHEL,Mar 2013,Reinvest
BHEL,Mar 2014,Cash Rich
BHEL,Mar 2015,Cash Rich
BHEL,Mar 2016,Cash Rich
BHEL,Mar 2017,Income
BHEL,Mar 2018,Cash Rich
BHEL,Mar 2019,Income
BHEL,Mar 2020,Expansion
BHEL,Mar 2021,Cash Rich
BHEL,Mar 2022,Neutral
BHEL,Mar 2023,Cash Rich
BHEL,Mar 2024,Neutral
BHEL,TTM,Neutral
BOSCHLTD,Dec 2012,Cash Rich
BOSCHLTD,Dec 2013,Cash Rich
BOSCHLTD,Mar 2015,Cash Rich
BOSCHLTD,Mar 2016,Cash Rich
BOSCHLTD,Mar 2017,Cash Rich
BOSCHLTD,Mar 2018,Cash Rich
BOSCHLTD,Mar 2019,Cash Rich
BOSCHLTD,Mar 2020,Cash Rich
BOSCHLTD,Mar 2021,Cash Rich
BOSCHLTD,Mar 2022,Cash Rich
BOSCHLTD,Mar 2023,Cash Rich
BOSCHLTD,Mar 2024,Return
BOSCHLTD,TTM,Neutral
BPCL,Mar 2013,Neutral
BPCL,Mar 2014,Reinvest
BPCL,Mar 2015,Reinvest
BPCL,Mar 2016,Reinvest
BPCL,Mar 2017,Reinvest
BPCL,Mar 2018,Reinvest
BPCL,Mar 2019,Reinvest
BPCL,Mar 2020,Income
BPCL,Mar 2021,Return
BPCL,Mar 2022,Neutral
BPCL,Mar 2023,Neutral
BPCL,Mar 2024,Balanced
BPCL,TTM,Neutral
BRITANNIA,Mar 2013,Balanced
BRITANNIA,Mar 2014,Cash Rich
BRITANNIA,Mar 2015,Reinvest
BRITANNIA,Mar 2016,Reinvest
BRITANNIA,Mar 2017,Cash Rich
BRITANNIA,Mar 2018,Reinvest
BRITANNIA,Mar 2019,Reinvest
BRITANNIA,Mar 2020,Reinvest
BRITANNIA,Mar 2021,Return
BRITANNIA,Mar 2022,Return
BRITANNIA,Mar 2023,Reinvest
BRITANNIA,Mar 2024,Return
BRITANNIA,TTM,Neutral
CANBK,Mar 2013,Neutral
CANBK,Mar 2014,Neutral
CANBK,Mar 2015,Neutral
CANBK,Mar 2016,Neutral
CANBK,Mar 2017,Neutral
CANBK,Mar 2018,Distress
CANBK,Mar 2019,Neutral
CANBK,Mar 2020,Distress
CANBK,Mar 2021,Neutral
CANBK,Mar 2022,Distress
CANBK,Mar 2023,Distress
CANBK,Mar 2024,Neutral
CANBK,TTM,Neutral
CHOLAFIN,Mar 2013,Distress
CHOLAFIN,Mar 2014,Distress
CHOLAFIN,Mar 2015,Distress
CHOLAFIN,Mar 2016,Distress
CHOLAFIN,Mar 2017,Distress
CHOLAFIN,Mar 2018,Distress
CHOLAFIN,Mar 2019,Distress
CHOLAFIN,Mar 2020,Distress
CHOLAFIN,Mar 2021,Distress
CHOLAFIN,Mar 2022,Distress
CHOLAFIN,Mar 2023,Distress
CHOLAFIN,Mar 2024,Distress
CHOLAFIN,TTM,Neutral
CIPLA,Mar 2013,Expansion
CIPLA,Mar 2014,Cash Rich
CIPLA,Mar 2015,Cash Rich
CIPLA,Mar 2016,Expansion
CIPLA,Mar 2017,Cash Rich
CIPLA,Mar 2018,Cash Rich
CIPLA,Mar 2019,Cash Rich
CIPLA,Mar 2020,Cash Rich
CIPLA,Mar 2021,Cash Rich
CIPLA,Mar 2022,Cash Rich
CIPLA,Mar 2023,Cash Rich
CIPLA,Mar 2024,Cash Rich
CIPLA,TTM,Neutral
COALINDIA,Mar 2013,Return
COALINDIA,Mar 2014,Return
COALINDIA,Mar 2015,Return
COALINDIA,Mar 2016,Return
COALINDIA,Mar 2017,Return
COALINDIA,Mar 2018,Return
COALINDIA,Mar 2019,Return
COALINDIA,Mar 2020,Return
COALINDIA,Mar 2021,Return
COALINDIA,Mar 2022,Reinvest
COALINDIA,Mar 2023,Reinvest
COALINDIA,Mar 2024,Return
COALINDIA,TTM,Neutral
DABUR,Mar 2013,Reinvest
DABUR,Mar 2014,Cash Rich
DABUR,Mar 2015,Reinvest
DABUR,Mar 2016,Reinvest
DABUR,Mar 2017,Reinvest
DABUR,Mar 2018,Return
DABUR,Mar 2019,Cash Rich
DABUR,Mar 2020,Cash Rich
DABUR,Mar 2021,Reinvest
DABUR,Mar 2022,Reinvest
DABUR,Mar 2023,Cash Rich
DABUR,Mar 2024,Cash Rich
DABUR,TTM,Neutral
DIVISLAB,Mar 2013,Reinvest
