DAY 13 - RATIO EDGE CASES
============================================================
ABB Dec 2012 ROE Difference = 12.49 (Source=34.9, Engine=22.41) | Category: Source data issue
ABB Dec 2012 ROCE Difference = 14.78 (Source=46.0, Engine=31.22) | Category: Source data issue
ABB Mar 2014 ROE Difference = 9.77 (Source=34.9, Engine=25.13) | Category: Source data issue
ABB Mar 2014 ROCE Difference = 12.12 (Source=46.0, Engine=33.88) | Category: Source data issue
ABB Mar 2015 ROE Difference = 10.46 (Source=34.9, Engine=24.44) | Category: Source data issue
ABB Mar 2015 ROCE Difference = 12.70 (Source=46.0, Engine=33.30) | Category: Source data issue
ABB Mar 2016 ROE Difference = 13.56 (Source=34.9, Engine=21.34) | Category: Source data issue
ABB Mar 2016 ROCE Difference = 15.46 (Source=46.0, Engine=30.54) | Category: Source data issue
ABB Mar 2017 ROE Difference = 14.93 (Source=34.9, Engine=19.97) | Category: Source data issue
ABB Mar 2017 ROCE Difference = 17.30 (Source=46.0, Engine=28.70) | Category: Source data issue
ABB Mar 2018 ROE Difference = 11.21 (Source=34.9, Engine=23.69) | Category: Source data issue
ABB Mar 2018 ROCE Difference = 14.99 (Source=46.0, Engine=31.01) | Category: Source data issue
ABB Mar 2019 ROE Difference = 12.49 (Source=34.9, Engine=22.41) | Category: Source data issue
ABB Mar 2019 ROCE Difference = 15.87 (Source=46.0, Engine=30.13) | Category: Source data issue
ABB Mar 2020 ROE Difference = 10.51 (Source=34.9, Engine=24.39) | Category: Source data issue
ABB Mar 2020 ROCE Difference = 16.95 (Source=46.0, Engine=29.05) | Category: Source data issue
ABB Mar 2021 ROE Difference = 8.34 (Source=34.9, Engine=26.56) | Category: Source data issue
ABB Mar 2021 ROCE Difference = 12.53 (Source=46.0, Engine=33.47) | Category: Source data issue
ABB Mar 2022 ROE Difference = 6.57 (Source=34.9, Engine=28.33) | Category: Source data issue
ABB Mar 2022 ROCE Difference = 9.59 (Source=46.0, Engine=36.41) | Category: Source data issue
ABB Mar 2023 ROE Difference = 5.13 (Source=34.9, Engine=29.77) | Category: Source data issue
ABB Mar 2023 ROCE Difference = 9.47 (Source=46.0, Engine=36.53) | Category: Source data issue
ABB Mar 2024 ROCE Difference = 7.58 (Source=46.0, Engine=38.42) | Category: Source data issue
ADANIENSOL Mar 2015 ROE Difference = 9.24 (Source=8.59, Engine=-0.65) | Category: Source data issue
ADANIENSOL Mar 2015 ROCE Difference = 8.06 (Source=9.0, Engine=0.94) | Category: Source data issue
ADANIENSOL Mar 2016 ROE Difference = 5.18 (Source=8.59, Engine=13.77) | Category: Source data issue
ADANIENSOL Mar 2016 ROCE Difference = 8.12 (Source=9.0, Engine=17.12) | Category: Source data issue
ADANIENSOL Mar 2017 ROE Difference = 5.53 (Source=8.59, Engine=14.12) | Category: Source data issue
ADANIENSOL Mar 2017 ROCE Difference = 7.63 (Source=9.0, Engine=16.63) | Category: Source data issue
ADANIENSOL Mar 2018 ROE Difference = 10.28 (Source=8.59, Engine=18.87) | Category: Source data issue
ADANIENSOL Mar 2018 ROCE Difference = 8.14 (Source=9.0, Engine=17.14) | Category: Source data issue
ADANIENSOL Mar 2021 ROE Difference = 5.87 (Source=8.59, Engine=14.46) | Category: Source data issue
ADANIENT Mar 2013 ROE Difference = 7.95 (Source=13.64, Engine=5.69) | Category: Source data issue
ADANIENT Mar 2016 ROE Difference = 6.17 (Source=13.64, Engine=7.47) | Category: Source data issue
