company_id,filename,size_kb
ABB,ABB_tearsheet.pdf,105.35
ADANIENSOL,ADANIENSOL_tearsheet.pdf,108.37
ADANIENT,ADANIENT_tearsheet.pdf,107.1
ADANIGREEN,ADANIGREEN_tearsheet.pdf,95.26
ADANIPORTS,ADANIPORTS_tearsheet.pdf,98.71
ADANIPOWER,ADANIPOWER_tearsheet.pdf,106.78
AMBUJACEM,AMBUJACEM_tearsheet.pdf,102.22
APOLLOHOSP,APOLLOHOSP_tearsheet.pdf,107.36
ASIANPAINT,ASIANPAINT_tearsheet.pdf,98.78
ATGL,ATGL_tearsheet.pdf,84.5
AXISBANK,AXISBANK_tearsheet.pdf,111.81
BAJAJ-AUTO,BAJAJ-AUTO_tearsheet.pdf,102.9
BAJAJFINSV,BAJAJFINSV_tearsheet.pdf,106.41
BAJAJHLDNG,BAJAJHLDNG_tearsheet.pdf,102.58
BAJFINANCE,BAJFINANCE_tearsheet.pdf,109.56
BANKBARODA,BANKBARODA_tearsheet.pdf,109.45
BEL,BEL_tearsheet.pdf,109.06
BHARTIARTL,BHARTIARTL_tearsheet.pdf,105.41
BHEL,BHEL_tearsheet.pdf,108.11
BOSCHLTD,BOSCHLTD_tearsheet.pdf,110.76
BPCL,BPCL_tearsheet.pdf,106.38
BRITANNIA,BRITANNIA_tearsheet.pdf,103.09
CANBK,CANBK_tearsheet.pdf,108.01
CHOLAFIN,CHOLAFIN_tearsheet.pdf,105.99
CIPLA,CIPLA_tearsheet.pdf,104.58
COALINDIA,COALINDIA_tearsheet.pdf,107.35
DABUR,DABUR_tearsheet.pdf,101.84
DIVISLAB,DIVISLAB_tearsheet.pdf,110.11
DLF,DLF_tearsheet.pdf,105.68
DMART,DMART_tearsheet.pdf,105.96
DRREDDY,DRREDDY_tearsheet.pdf,106.08
EICHERMOT,EICHERMOT_tearsheet.pdf,99.47
GAIL,GAIL_tearsheet.pdf,111.32
GODREJCP,GODREJCP_tearsheet.pdf,106.81
GRASIM,GRASIM_tearsheet.pdf,106.19
HAL,HAL_tearsheet.pdf,106.38
HAVELLS,HAVELLS_tearsheet.pdf,105.17
HCLTECH,HCLTECH_tearsheet.pdf,100.37
HDFCBANK,HDFCBANK_tearsheet.pdf,104.88
HDFCLIFE,HDFCLIFE_tearsheet.pdf,109.99
HEROMOTOCO,HEROMOTOCO_tearsheet.pdf,103.36
HINDALCO,HINDALCO_tearsheet.pdf,106.04
HINDUNILVR,HINDUNILVR_tearsheet.pdf,100.88
ICICIBANK,ICICIBANK_tearsheet.pdf,106.62
ICICIGI,ICICIGI_tearsheet.pdf,110.32
ICICIPRULI,ICICIPRULI_tearsheet.pdf,108.07
INDIGO,INDIGO_tearsheet.pdf,99.01
INDUSINDBK,INDUSINDBK_tearsheet.pdf,106.99
INFY,INFY_tearsheet.pdf,107.83
IOC,IOC_tearsheet.pdf,109.52
IRCTC,IRCTC_tearsheet.pdf,104.3
IRFC,IRFC_tearsheet.pdf,103.59
ITC,ITC_tearsheet.pdf,104.95
JINDALSTEL,JINDALSTEL_tearsheet.pdf,106.91
JSWENERGY,JSWENERGY_tearsheet.pdf,108.05
JSWSTEEL,JSWSTEEL_tearsheet.pdf,109.29
KOTAKBANK,KOTAKBANK_tearsheet.pdf,108.15
LICI,LICI_tearsheet.pdf,89.49
LODHA,LODHA_tearsheet.pdf,109.7
LT,LT_tearsheet.pdf,106.34
LTIM,LTIM_tearsheet.pdf,105.06
M&M,M&M_tearsheet.pdf,105.99
MARUTI,MARUTI_tearsheet.pdf,105.11
MOTHERSON,MOTHERSON_tearsheet.pdf,103.71
NAUKRI,NAUKRI_tearsheet.pdf,106.69
NESTLEIND,NESTLEIND_tearsheet.pdf,103.33
NHPC,NHPC_tearsheet.pdf,111.68
NTPC,NTPC_tearsheet.pdf,106.17
ONGC,ONGC_tearsheet.pdf,112.4
PFC,PFC_tearsheet.pdf,109.79
PIDILITIND,PIDILITIND_tearsheet.pdf,106.08
PNB,PNB_tearsheet.pdf,95.77
POWERGRID,POWERGRID_tearsheet.pdf,96.95
RECLTD,RECLTD_tearsheet.pdf,107.22
RELIANCE,RELIANCE_tearsheet.pdf,105.15
SBILIFE,SBILIFE_tearsheet.pdf,97.61
SBIN,SBIN_tearsheet.pdf,78.93
SHREECEM,SHREECEM_tearsheet.pdf,104.45
SHRIRAMFIN,SHRIRAMFIN_tearsheet.pdf,106.46
SIEMENS,SIEMENS_tearsheet.pdf,105.82
SUNPHARMA,SUNPHARMA_tearsheet.pdf,107.49
TATACONSUM,TATACONSUM_tearsheet.pdf,106.45
TATAMOTORS,TATAMOTORS_tearsheet.pdf,105.71
TATAPOWER,TATAPOWER_tearsheet.pdf,105.47
TATASTEEL,TATASTEEL_tearsheet.pdf,107.45
TCS,TCS_tearsheet.pdf,101.29
TECHM,TECHM_tearsheet.pdf,104.36
TITAN,TITAN_tearsheet.pdf,101.35
TORNTPHARM,TORNTPHARM_tearsheet.pdf,106.9
TRENT,TRENT_tearsheet.pdf,102.95
TVSMOTOR,TVSMOTOR_tearsheet.pdf,100.66
